latitude,longitude,name,description,category,icon_url,icon_scaled_size,icon_shape_type,icon_shape_coords,color
40.7183849,-73.9402009,Indoor Air Quality Workshop,Join North Brooklyn Neighbors for a free workshop to learn about indoor air quality and what you can do to improve the air in your…,northbrooklynneighbors,https://i.imgur.com/omuyrDs.png,"40,40",square,"0,0,40,40",#FFC107
40.7278789,-73.9406384,Tenants Rights Workshop: Meeker Avenue Plume Investigation,What are your rights as a tenant in an environmental justice area like the Meeker Avenue Plume Superfund Site? Join St. Nicks Alliance to learn: Participate…,northbrooklynneighbors,https://i.imgur.com/omuyrDs.png,"40,40",square,"0,0,40,40",#FFC107
40.750321400000004,-73.74211784675836,Alley Pond Environmental Center Reconstruction,This project will construct a new environmental center in Alley Pond Park.,nycgovparks,https://i.imgur.com/2uzNAA8.png,"32,32",circle,,#4CAF50
40.60239555,-74.01113856401884,Bath Beach Park Playground Reconstruction,"This project will reconstruct and expand the playground, including new play equipment, new pavements, safety surfacing, site furnishings, drainage, and water supply; demolish the bocce courts and multipurpose play area and construct sitting and adult fitness areas; and reconstruct the central path in Bath Beach Park.",nycgovparks,https://i.imgur.com/2uzNAA8.png,"32,32",circle,,#4CAF50
-37.7994743,144.9384903,Bronx and Manhattan Emerald Ash Borer (EAB) Related Tree Removal,This project will remove trees with emerald ash borer (EAB) in the Bronx and Manhattan.,nycgovparks,https://i.imgur.com/2uzNAA8.png,"32,32",circle,,#4CAF50
-37.7994743,144.9384903,Brooklyn and Staten Island Emerald Ash Borer (EAB) Related Tree Removal,This project will remove trees with emerald ash borer (EAB) in Brooklyn and Staten Island.,nycgovparks,https://i.imgur.com/2uzNAA8.png,"32,32",circle,,#4CAF50
40.67139535,-74.00606188694692,Red Hook Community Farm Water Service Construction,This project will construct water service at Red Hook Community Farm.,nycgovparks,https://i.imgur.com/2uzNAA8.png,"32,32",circle,,#4CAF50
40.5834557,-74.1496048,Staten Island Tree-Damaged Sidewalk Reconstruction FY21,This project will reconstruct sidewalks damaged by trees in Staten Island.,nycgovparks,https://i.imgur.com/2uzNAA8.png,"32,32",circle,,#4CAF50
40.6627297,-73.91336983579811,Betsy Head Pool Electrical System Reconstruction,This project will reconstruct the electrical system at Betsy Head Pool.,nycgovparks,https://i.imgur.com/2uzNAA8.png,"32,32",circle,,#4CAF50
,,Callahan-Kelly Playground Reconstruction,"This project will reconstruct the playground, spray shower, perimeter sidewalks and walls, basketball courts, adult fitness equipment and sitting areas in Callahan-Kelly Playground. In addition, this project will construct a new skate park and park entrances.",nycgovparks,https://i.imgur.com/2uzNAA8.png,"32,32",circle,,#4CAF50
,,Corporal Irwin Fischer Park Construction,This project will construct Corporal Irwin Fischer Park.,nycgovparks,https://i.imgur.com/2uzNAA8.png,"32,32",circle,,#4CAF50
40.671561350000005,-73.89436809697115,Grace Playground Reconstruction,"This project will reconstruct the playground area in Grace Playground, including the play equipment, safety surfacing, spray shower, fencing, and utilities.",nycgovparks,https://i.imgur.com/2uzNAA8.png,"32,32",circle,,#4CAF50
40.6871747,-73.88774219353652,Highland Park Lower East Playground Comfort Station Reconstruction,This project will reconstruct the comfort station at the lower east playground in Highland Park.,nycgovparks,https://i.imgur.com/2uzNAA8.png,"32,32",circle,,#4CAF50
40.87227365,-73.9254270915026,Inwood Hill Nature Center Post-Sandy Reconstruction,This project will reconstruct the Inwood Hill Nature Center at Inwood Hill Park due to damage caused by Hurricane Sandy.,nycgovparks,https://i.imgur.com/2uzNAA8.png,"32,32",circle,,#4CAF50
,,Kissena Corridor Park and Hutchinson River Parkway Path Lighting Construction,This project will construct pathway lighting at Kissena Corridor Park between 56th Avenue and Colden Street and at Hutchinson River Parkway along Bartow Avenue.,nycgovparks,https://i.imgur.com/2uzNAA8.png,"32,32",circle,,#4CAF50
40.60042545,-73.97209571278157,McDonald Playground Reconstruction,This project will reconstruct the play area in McDonald Playground.,nycgovparks,https://i.imgur.com/2uzNAA8.png,"32,32",circle,,#4CAF50
40.6025011,-74.09004792463976,Naples Playground Reconstruction,"This project will reconstruct Naples Playground, including the play area, the basketball courts, and the ball field fencing.",nycgovparks,https://i.imgur.com/2uzNAA8.png,"32,32",circle,,#4CAF50
40.67139535,-74.00606188694692,Red Hook Recreation Area Ballfield 9 and Soccer Field 2 Reconstruction,This project will convert a ballfield and soccer field from natural turf to synthetic turf and remediate contaminated soils at Red Hook Recreation Area.,nycgovparks,https://i.imgur.com/2uzNAA8.png,"32,32",circle,,#4CAF50
40.5834557,-74.1496048,Staten Island Street Tree Planting FY21 (RG-619M),This project will plant new trees in Staten Island.,nycgovparks,https://i.imgur.com/2uzNAA8.png,"32,32",circle,,#4CAF50
40.74003965,-73.97805142405133,Bellevue South Park Reconstruction,"This project will construct an ADA-accessible dog run and reconstruct the basketball court, playground, and sitting areas at Bellevue South Park.",nycgovparks,https://i.imgur.com/2uzNAA8.png,"32,32",circle,,#4CAF50
40.6526006,-73.9497211,Brooklyn Street Tree Planting FY21 - Community Boards 2-3,This project will plant new and replacement trees in Community Boards 2-3 in Brooklyn.,nycgovparks,https://i.imgur.com/2uzNAA8.png,"32,32",circle,,#4CAF50
